Date,Open,High,Low,Close,Volume From,Volume To
13.03.2024,71452.01,73650.25,71333.31,73072.41,52659.71,3829764501.27
14.03.2024,73072.41,73777,68555,71388.94,71757.63,5132189849.09
15.03.2024,71388.94,72419.71,65600,69499.85,103334.04,7065279917.87
16.03.2024,69499.85,70043,64780,65300.63,55926.95,3788544202.87
17.03.2024,65300.63,68904.4,64533,68393.48,49742.22,3322963634.21
18.03.2024,68393.48,68956,66565.2,67609.99,55691.08,3768277912.43
19.03.2024,67609.99,68124.11,61555,61937.4,101005.32,6484805948.58
20.03.2024,61937.4,68100,60775,67840.51,90420.59,5769770052.13
21.03.2024,67840.51,68240.47,64529.01,65501.27,53357.48,3551223142.96
22.03.2024,65501.27,66649.62,62260,63796.64,51482.38,3310481978.21
23.03.2024,63796.64,65999,63000,63990.01,26410.11,1706152172.68
24.03.2024,63990.01,67628.69,63772.29,67209.99,31395.78,2059312948.65
25.03.2024,67209.99,71150,66385.06,69880.01,53431.14,3679964073.76
26.03.2024,69880.01,71561.1,69280,69988,38934.38,2738537345.26
27.03.2024,69988,71769.54,68359.18,69469.99,49119.36,3426458581.93
28.03.2024,69469.99,71552.06,68903.62,70780.6,35439.03,2500571208
29.03.2024,70780.6,70916.16,69009,69850.54,25445.08,1779608477.33
30.03.2024,69850.54,70321.1,69540,69582.18,13644.61,954555919.69
31.03.2024,69582.18,71366,69562.99,71280.01,19396.34,1367523707.26
01.04.2024,71280.01,71288.23,68062.86,69649.8,41445.32,2876486469.46
02.04.2024,69649.8,69674.23,64550,65463.99,71799.83,4750030717.89
03.04.2024,65463.99,66903.63,64493.07,65963.28,39887.22,2630556596.11
04.04.2024,65963.28,69309.91,65064.52,68487.79,41510.48,2795469450.57
05.04.2024,68487.79,68756.67,65952.56,67820.62,37915.23,2555458935.24
06.04.2024,67820.62,69692,67447.83,68896,20134.29,1373131967.77
07.04.2024,68896,70326.29,68824,69360.39,21534.74,1496213373.18
08.04.2024,69360.39,72797.99,69043.24,71620,45723.88,3270853309.69
09.04.2024,71620,71758.19,68210,69146,39293.9,2749007421.61
10.04.2024,69146,71172.08,67518,70631.08,42006.02,2901564970.78
11.04.2024,70631.08,71305.89,69567.21,70006.23,31917.26,2247473274.61
12.04.2024,70006.23,71227.46,65086.86,67116.52,56072.86,3843551585.32
13.04.2024,67116.52,67929,60660.57,63924.51,71395.22,4614468627.82
14.04.2024,63924.51,65840,62134,65661.84,61599.18,3946124834.69
15.04.2024,65661.84,66867.07,62274.4,63419.99,52389.53,3398072231.55
16.04.2024,63419.99,64365,61600,63793.39,53435.29,3355338198.44
17.04.2024,63793.39,64499,59678.16,61277.37,50610.55,3128625247.43
18.04.2024,61277.37,64117.09,60803.35,63470.08,43601.61,2726741448.91
19.04.2024,63470.08,65450,59600.01,63818.01,69774.3,4419893235.18
20.04.2024,63818.01,65419,63090.07,64940.59,23137.43,1486949581.43
21.04.2024,64940.59,65695.56,64237.5,64941.15,19316.42,1254396628.14
22.04.2024,64941.15,67232.35,64500,66819.32,31397.99,2071690434.96
23.04.2024,66819.32,67183.01,65765.81,66414,22599.9,1502139968.71
24.04.2024,66414,67070.43,63606.06,64289.59,33595.7,2195714861.64
25.04.2024,64289.59,65297.94,62794,64498.34,31341.46,2007704069.27
26.04.2024,64498.34,64820.01,63297.48,63770.01,27085.19,1736631357.35
27.04.2024,63770.01,63923.41,62391.24,63461.98,20933.06,1320337707.79
28.04.2024,63461.98,64370,62781,63118.62,16949.2,1078450016.47
29.04.2024,63118.62,64228.35,61765.53,63866,28150.23,1765038324.69
30.04.2024,63866,64734,59191.6,60672,54947.66,3372142467.41
01.05.2024,60672,60841.63,56552.82,58364.97,81166.47,4705572361.85
02.05.2024,58364.97,59625,56911.84,59060.61,47583.82,2778840305.07
03.05.2024,59060.61,63333,58811.32,62882.01,43628.4,2658193708.33
04.05.2024,62882.01,64540,62541.03,63892.04,24368.69,1547468697.88
05.05.2024,63892.04,64646,62822.17,64012,18526.75,1182572239.53
06.05.2024,64012,65500,62700,63165.19,34674.92,2218131198.46
07.05.2024,63165.19,64422.41,62261,62312.08,25598.79,1624531631.59
08.05.2024,62312.08,63020.22,60888,61193.03,26121.19,1623561041.11
09.05.2024,61193.03,63429.03,60630,63074.01,30660.81,1895849912.79
10.05.2024,63074.01,63469.13,60187.12,60799.99,36529.34,2255550468.41
11.05.2024,60799.99,61515,60487.09,60825.99,13374.57,814928013.46
12.05.2024,60825.99,61888,60610,61483.99,12753.13,781041632.47
13.05.2024,61483.99,63450,60749.21,62940.08,32733.42,2041896626.62
14.05.2024,62940.08,63118.36,61142.77,61577.49,29088.71,1800171313.76
15.05.2024,61577.49,66444.16,61319.47,66206.5,43559.75,2794259631.94
16.05.2024,66206.5,66752.01,64602.77,65235.21,31106.37,2045507646.84
17.05.2024,65235.21,67451.2,65106.38,67024,26292.23,1745971822.35
18.05.2024,67024,67400.01,66600,66915.2,14441.26,967145944.68
19.05.2024,66915.2,67700,65857.25,66274.01,18025.3,1204989222.87
20.05.2024,66274.01,71515.56,66060.31,71446.62,50816.7,3485474763.77
21.05.2024,71446.62,71979,69162.94,70148.34,49607.43,3509345769.25
22.05.2024,70148.34,70666,68842.19,69166.62,27673.18,1931700812.3
23.05.2024,69166.62,70096.12,66312.16,67969.65,40513.17,2766790260.79
24.05.2024,67969.65,69250,66600.12,68549.99,28095.84,1906438696.72
25.05.2024,68549.99,69610,68500,69290.57,12130.39,837339788.98
26.05.2024,69290.57,69562.23,68128.01,68507.67,11872.12,818914878.99
27.05.2024,68507.67,70687.56,68250,69436.43,23136.93,1604722197.85
28.05.2024,69436.43,69591.81,67277.91,68398.39,32622.97,2224860225.8
29.05.2024,68398.39,68935.68,67124.65,67652.42,23159.83,1573095221.63
30.05.2024,67652.42,69500,67128,68352.17,28478.22,1945001081.53
31.05.2024,68352.17,69044.1,66670,67540.01,26690.32,1812659052.26
01.06.2024,67540.01,67900,67428.44,67766.85,8837.66,598305207.99
02.06.2024,67766.85,68460,67257.47,67765.63,15426.33,1046827665.38
03.06.2024,67765.63,70288,67612.48,68809.9,29633.37,2047757076.23
04.06.2024,68809.9,71063.45,68567.32,70537.84,29619.78,2069902136.99
05.06.2024,70537.84,71758,70383.66,71108,28703.18,2040073765.87
06.06.2024,71108,71700,70117.64,70799.06,21842,1551467659.15
07.06.2024,70799.06,71997.02,68420,69355.6,35598.45,2507250591.34
08.06.2024,69355.6,69582.2,69168.02,69310.46,9773.83,678267390.53
09.06.2024,69310.46,69857.14,69130.24,69648.14,9890.57,687344656.07
10.06.2024,69648.14,70195.94,69172.29,69540,17122.67,1192466549.96
11.06.2024,69540,69590.01,66051,67314.24,41436.02,2793799020.47
12.06.2024,67314.24,69999,66905,68263.99,37175.32,2550285139.2
13.06.2024,68263.99,68449.3,66251.78,66773.01,29079.56,1958897960.91
14.06.2024,66773.01,67370.24,65078,66043.99,28408.19,1884451554.4
15.06.2024,66043.99,66478.48,65857.1,66228.25,11451.8,758175888.03
16.06.2024,66228.25,66998.7,66034.5,66676.87,9392.52,624653672.61
17.06.2024,66676.87,67298.81,65130,66504.33,27386.17,1812061226.76
18.06.2024,66504.33,66588.23,64060,65175.32,42350.1,2755141806.12
19.06.2024,65175.32,65727.54,64666,64974.37,20060.8,1307731953.96
20.06.2024,64974.37,66482.94,64559.15,64869.99,24265.29,1584896152.21
21.06.2024,64869.99,65066.66,63379.35,64143.56,25993.56,1665541539.7
22.06.2024,64143.56,64546.81,63943.82,64262.01,7308.96,470027247.34
23.06.2024,64262.01,64521,63178.32,63210.01,8224.45,526848525
24.06.2024,63210.01,63369.8,58402,60293.3,52161.35,3180853460.89
25.06.2024,60293.3,62420,60257.06,61806.01,31189.24,1914901308.84
26.06.2024,61806.01,62487.81,60712,60864.99,22485.66,1381716993.36
27.06.2024,60864.99,62389.22,60606.63,61706.47,18344.29,1126705164.78
28.06.2024,61706.47,62225.31,60063,60427.84,24821.19,1519872032.03
29.06.2024,60427.84,61224,60383.77,60986.68,11509.56,701345872.49
30.06.2024,60986.68,63058.76,60712.21,62772.01,17326.3,1070250012.55
01.07.2024,62772.01,63861.76,62497.2,62899.99,24547.11,1550980813.68
02.07.2024,62899.99,63288.83,61806.28,62135.47,18573.12,1160792332.58
03.07.2024,62135.47,62285.94,59400,60208.58,32160.11,1945901232.9
04.07.2024,60208.58,60498.19,56771,57050.01,54568.77,3168619756.23
05.07.2024,57050.01,57546,53485.93,56628.79,81348.25,4515040083.53
06.07.2024,56628.79,58475,56018,58230.13,21651.32,1235398733.44
07.07.2024,58230.13,58449.46,55724.37,55857.81,19118.94,1094135752.45
08.07.2024,55857.81,58236.73,54260.16,56714.62,48090.2,2699942701.35
09.07.2024,56714.62,58296,56289.45,58050,27732.21,1592351321.66
10.07.2024,58050,59470,57157.79,57725.85,24951.74,1452293495.67
11.07.2024,57725.85,59650,57050,57339.89,29761.06,1728929618.01
12.07.2024,57339.89,58526.68,56542.47,57889.1,23652.46,1360201319.04
13.07.2024,57889.1,59850,57756.63,59204.02,15357.75,900429281.15
14.07.2024,59204.02,61420.69,59194.01,60797.91,21178.34,1273562988.6
15.07.2024,60797.91,64900,60632.3,64724.14,38690.98,2435540878.99
16.07.2024,64724.14,65388.97,62373.24,65043.99,42530.53,2725231969.31
17.07.2024,65043.99,66128.63,63854,64087.99,29567.53,1922412273.1
18.07.2024,64087.99,65133.3,63238.48,63987.92,22568.72,1449872437.64
19.07.2024,63987.92,67386,63300.67,66660,35634.73,2331517674.45
20.07.2024,66660,67598,66222.46,67139.96,14386.92,961878801.85
21.07.2024,67139.96,68366.66,65777,68165.34,21819.11,1465757867.95
22.07.2024,68165.34,68474.55,66559.97,67532.01,21451.04,1448418369.88
23.07.2024,67532.01,67750.98,65441.08,65936.01,31406.15,2088544473.31
24.07.2024,65936.01,67102.01,65111,65376,23082.56,1526490826.46
25.07.2024,65376,66175.49,63456.7,65799.95,35126.43,2266419771.21
26.07.2024,65799.95,68200,65722.63,67907.99,24244.36,1630839588.68
27.07.2024,67907.99,69399.99,66650,67896.5,31710.22,2162335067
28.07.2024,67896.5,68318.43,67066.66,68249.88,10868.69,736755676.14
29.07.2024,68249.88,70079.99,66428,66784.69,36467.3,2499265962
30.07.2024,66784.69,67000,65302.67,66188,23132.25,1533270724.81
31.07.2024,66188,66849.24,64530,64628,22625.44,1489443332.54
01.08.2024,64628,65659.78,62302,65354.02,35542.27,2270877792.72
02.08.2024,65354.02,65596.14,61230.01,61498.33,38820.43,2469588785.66
03.08.2024,61498.33,62198.22,59850,60697.99,28034.72,1711555901.18
04.08.2024,60697.99,61117.63,57122.77,58161,31616.52,1874490041.55
05.08.2024,58161,58305.59,49000,54018.81,162065.59,8580928177.42
06.08.2024,54018.81,57040.99,53950,56022.01,55884.78,3119018848.31
07.08.2024,56022.01,57736.05,54558.62,55134.16,44269.38,2490553853.61
08.08.2024,55134.16,62745.14,54730,61685.99,48349.53,2836312292.43
09.08.2024,61685.99,61744.37,59535,60837.99,30972.48,1878350555.51
10.08.2024,60837.99,61470.58,60242,60923.51,9995.21,607372221.25
11.08.2024,60923.51,61858,58286.73,58712.59,19189.85,1152081498.15
12.08.2024,58712.59,60711.09,57642.21,59346.64,37009.92,2186851067.35
13.08.2024,59346.64,61578.1,58392.88,60587.15,27858.96,1668247896.85
14.08.2024,60587.15,61800,58433.18,58683.39,28422.76,1705464263.5
15.08.2024,58683.39,59849.38,56078.54,57541.06,37686.18,2194915865.05
16.08.2024,57541.06,59817.76,57098.62,58874.6,27610.84,1614654900.34
17.08.2024,58874.6,59700,58785.05,59491.99,7721.73,457737705.77
18.08.2024,59491.99,60284.99,58408.92,58427.35,13634.86,813166580.73
19.08.2024,58427.35,59617.63,57787.3,59438.5,22809.31,1336287900.2
20.08.2024,59438.5,61400,58548.23,59013.8,31477.45,1890620149.79
21.08.2024,59013.8,61820.93,58783.47,61156.03,27983.64,1682529555.1
22.08.2024,61156.03,61400,59724.87,60375.84,21241.21,1288544247.95
23.08.2024,60375.84,64955,60342.14,64037.24,38118.07,2375916932.8
24.08.2024,64037.24,64494.5,63531,64157.01,15857.16,1015774255.17
25.08.2024,64157.01,65000,63773.27,64220,12305.48,789935122.99
26.08.2024,64220,64481,62800,62834,19470.05,1238341818.43
27.08.2024,62834,63212,58034.01,59415,35135.94,2158144642.99
28.08.2024,59415,60234.98,57860,59034.9,36868.54,2183054412.96
29.08.2024,59034.9,61166.99,58713.09,59359.01,27020.91,1617931684.26
30.08.2024,59359.01,59944.07,57701.1,59123.99,28519.32,1680918972.46
31.08.2024,59123.99,59462.38,58744,58973.99,8798.41,519849184.87
01.09.2024,58973.99,59076.59,57201,57301.86,20705.16,1202176847.39
02.09.2024,57301.86,59425.69,57128,59132.13,22895.01,1333092369.44
03.09.2024,59132.13,59809.65,57415,57487.73,22828.18,1335076815.86
04.09.2024,57487.73,58519,55606,57970.9,35560.82,2027630870.2
05.09.2024,57970.9,58327.07,55643.65,56180,27806.91,1577770853.1
06.09.2024,56180,57008,52550,53962.97,54447.77,2988914918.94
07.09.2024,53962.97,54850,53745.54,54160.86,16694.05,905693342.59
08.09.2024,54160.86,55318,53629.01,54869.95,16274.15,885743172.92
09.09.2024,54869.95,58088,54591.96,57042,32384.52,1809715390.05
10.09.2024,57042,58044.36,56386.4,57635.99,23626.78,1349365460.1
11.09.2024,57635.99,57981.71,55545.19,57338,33026.57,1875738697.37
12.09.2024,57338,58588,57324,58132.32,31074.41,1802848638.07
13.09.2024,58132.32,60625,57632.62,60498,29825.23,1760671733.59
